sigma: 20.71525145155046
216_4 178.0 214.0
216_3 154.0 258.0
216_5 150.0 209.0
216_7 122.0 175.0
216_6 103.0 185.0
216_9 162.0 180.0
216_8 165.0 198.0
216_11 151.0 142.0
216_10 172.0 156.0
216_13 202.0 164.0
216_12 187.0 191.0
216_15 185.0 120.0
216_14 198.0 137.0
207_8 161.39431060228858 171.83860976948054
210_7 161.34098542650435 176.41811399167946
166_6 161.1073284751113 175.12093433795616
215_6 121.87190869300113 177.9823048019772
173_5 152.16807045557366 197.14659658624126
115_3 155.6480819174615 195.94864896964998
205_10 186.2188752360338 124.89530593491882
208_10 200.22347491122554 164.51427004727338
159_8 186.1386072083956 128.45429091067996
45_2 158.60721316469855 196.7358516565556
186_2 174.02330135860254 215.13846200625434
virtual 171.8113942680749 212.4992216141514
