cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,1,2,0,2,0,0,0,2
I2,0,0,1,2,0,2,2,0,0,2
216_20,0,0,1,2,0,2,2,0,2,2
I3,0,1,1,2,2,2,2,0,0,2
216_19,0,1,1,2,2,2,2,0,0,2
216_18,0,1,1,2,2,2,2,0,0,2
I4,0,2,1,2,0,2,2,0,0,2
I5,2,2,1,2,0,2,2,0,0,2
216_17,2,2,1,2,0,2,2,0,0,2
216_16,2,2,1,2,0,2,2,0,0,2
I6,0,2,1,2,0,2,2,0,0,2
216_15,0,2,1,2,0,2,2,0,0,2
216_14,0,2,1,2,0,2,2,0,0,2
I7,0,0,1,0,0,2,0,0,2,0
I8,0,2,1,1,0,2,1,0,2,0
I9,0,2,1,1,0,2,1,0,2,0
I10,0,2,1,1,2,2,1,0,2,0
216_6,0,2,1,1,2,2,1,0,2,0
216_5,0,2,1,1,2,2,1,0,2,0
I11,0,2,1,1,0,2,1,0,2,2
216_8,0,2,1,1,0,2,1,0,2,2
216_7,0,2,1,1,0,2,1,0,2,2
I12,0,2,1,1,0,2,1,0,2,1
I13,0,2,1,1,0,2,1,0,2,1
216_2,0,2,1,1,0,2,1,0,2,1
216_1,0,2,1,1,0,2,1,0,2,1
I14,0,2,1,1,0,2,1,1,2,1
216_4,0,2,1,1,0,2,1,1,2,1
216_3,0,2,1,1,0,2,1,1,2,1
I15,0,0,1,0,1,2,0,0,2,2
I16,2,0,1,0,1,2,0,0,2,2
216_13,2,0,1,0,1,2,0,0,2,2
216_12,2,0,1,0,1,2,0,1,2,2
I17,0,0,1,0,1,2,0,0,2,2
216_9,0,0,1,0,1,2,0,0,2,2
I18,0,0,1,1,1,2,0,0,2,2
216_11,0,0,1,1,1,2,0,0,2,2
216_10,0,0,1,1,1,2,0,0,2,2
Evolve tree: [&R] (((((216_10:1,216_11:1)I18:49,216_9:50)I17:47,(216_12:45,216_13:45)I16:52)I15:54,(((216_3:10,216_4:10)I14:41,(216_1:1,216_2:1)I13:50)I12:45,((216_7:3,216_8:3)I11:42,(216_5:1,216_6:1)I10:44)I9:51)I8:55)I7:51,(((216_14:8,216_15:8)I6:41,(216_16:8,216_17:8)I5:41)I4:50,((216_18:4,216_19:4)I3:45,216_20:49)I2:50)I1:103)I0:13;
