cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,0,0,2,0,0,2,0,0,1,1,0,1,2,2,0,2,0,0,0,2,0,2,0,0,0,0,2,2,1,1,1,2,0,0,0,2,2,0,0,1,0,0,0,1,1,1,2,0,2,0
216_3,0,1,2,0,2,2,0,1,1,1,0,1,2,2,0,2,0,0,2,2,0,2,0,0,1,2,2,2,1,1,1,2,0,0,0,2,2,0,0,1,0,1,1,1,1,1,2,0,2,0
I2,0,0,2,0,0,2,2,0,1,1,0,1,2,2,0,2,0,1,0,2,0,2,0,0,0,0,2,2,1,1,1,2,2,0,1,2,2,0,0,1,0,0,0,1,1,1,2,1,2,0
I3,0,0,2,0,0,2,2,0,1,1,0,1,2,2,0,2,2,1,0,2,0,2,0,0,0,0,2,2,1,1,1,2,2,1,1,2,2,2,0,1,0,0,0,1,1,1,2,1,2,1
216_8,0,0,2,0,0,2,2,0,1,1,0,1,2,2,0,2,2,1,0,2,0,2,2,0,2,0,2,2,1,1,1,2,2,1,1,2,2,2,0,1,0,0,0,1,1,1,2,1,2,1
I4,0,0,2,0,0,2,2,0,1,1,0,1,2,2,2,2,2,1,0,2,2,2,0,0,1,0,2,2,1,1,1,2,2,1,1,2,2,2,0,1,0,0,2,1,1,1,2,1,2,1
216_10,0,0,2,0,0,2,2,0,1,1,0,1,2,2,2,2,2,1,0,2,2,2,0,0,1,0,2,2,1,1,1,2,2,1,1,2,2,2,0,1,0,0,2,1,1,1,2,1,2,1
216_9,0,0,2,0,0,2,2,0,1,1,0,1,2,2,2,2,2,1,0,2,2,2,0,0,1,0,2,2,1,1,1,2,2,1,1,2,2,2,0,1,0,0,2,1,1,1,2,1,2,1
I5,0,0,2,0,2,2,2,0,1,1,0,1,2,2,0,2,0,1,2,2,0,2,0,0,0,1,2,2,1,1,1,2,2,1,1,2,2,0,2,1,2,0,0,1,1,1,2,1,2,2
216_5,0,0,2,0,2,2,2,2,1,1,0,1,2,2,2,2,2,1,2,2,1,2,0,1,0,1,2,2,1,1,1,2,2,1,1,2,2,0,2,1,2,0,0,1,1,1,2,1,2,2
I6,0,0,2,0,2,2,2,1,1,1,0,1,2,2,0,2,0,1,2,2,0,2,0,0,0,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,0,0,1,1,1,2,1,2,2
216_7,0,0,2,0,2,2,2,1,1,1,0,1,2,2,0,2,0,1,2,2,0,2,2,0,0,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,0,0,1,1,1,2,1,2,2
216_6,2,0,2,0,2,2,2,1,1,1,0,1,2,2,0,2,0,1,2,2,0,2,0,0,0,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,0,0,1,1,1,2,1,2,2
I7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
I8,0,0,2,0,1,0,2,0,0,2,0,1,2,1,0,1,2,0,1,0,0,0,0,2,2,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0
I9,0,0,2,2,1,0,2,0,0,2,0,1,2,1,0,1,2,0,1,0,0,1,0,2,2,0,1,0,1,0,2,0,0,1,1,1,1,0,2,0,2,0,0,0,2,2,0,0,1,0
I10,2,2,2,2,1,0,2,0,0,2,0,1,2,1,0,1,2,2,1,0,0,1,0,2,2,0,1,0,1,0,2,0,1,1,1,1,1,0,2,0,2,0,0,0,2,2,0,0,1,1
216_23,2,2,2,2,1,0,2,0,0,2,0,1,2,1,2,1,2,2,1,0,0,1,0,2,2,0,1,0,1,0,2,0,1,1,1,1,1,0,2,0,2,2,0,1,2,2,2,0,1,1
216_22,2,2,2,2,1,0,2,0,2,2,0,1,2,1,0,1,2,2,1,0,0,1,0,2,2,0,1,0,1,0,2,0,1,1,1,1,1,0,2,0,2,0,0,0,2,2,0,1,1,1
I11,1,2,2,2,1,0,2,0,0,2,0,1,2,1,0,1,2,2,1,0,2,1,0,2,2,0,1,0,1,2,2,1,0,1,1,1,1,0,2,0,2,0,2,0,2,2,2,1,1,0
216_25,1,2,2,2,1,2,2,0,0,2,0,1,2,1,0,1,2,2,1,0,2,1,0,2,2,2,1,0,1,2,2,1,0,1,1,1,1,0,2,0,2,1,2,0,2,2,2,1,1,0
216_24,1,2,2,2,1,0,2,0,0,2,0,1,2,1,0,1,2,2,1,0,2,1,0,2,2,0,1,0,1,2,2,1,0,1,1,1,1,0,2,0,2,0,2,0,2,2,2,1,1,0
I12,0,0,2,1,1,0,2,0,0,2,0,1,2,1,0,1,2,0,1,0,0,0,1,2,2,0,1,0,1,0,2,0,0,0,1,1,0,0,0,2,2,0,1,0,2,2,2,0,0,1
I13,2,2,2,1,1,0,2,0,1,2,0,1,2,1,0,1,2,0,1,0,1,0,1,2,2,0,1,0,1,0,2,0,0,0,1,1,0,0,2,2,2,0,1,0,2,2,2,1,0,1
216_19,2,2,2,1,1,0,2,0,1,2,0,1,2,1,0,1,2,0,1,0,1,0,1,2,2,0,1,2,1,0,2,0,0,0,1,1,0,1,2,2,2,0,1,0,2,2,2,1,2,1
216_18,2,2,2,1,1,0,2,0,1,2,0,1,2,1,0,1,2,0,1,0,1,0,1,2,2,0,1,0,1,0,2,0,2,0,1,1,1,1,2,2,2,0,1,0,2,2,2,1,0,1
I14,0,0,2,1,1,0,2,0,0,2,2,1,2,1,0,1,2,2,1,0,0,1,1,2,2,0,1,0,1,1,2,0,0,0,1,1,2,0,0,2,2,0,1,0,2,2,2,0,0,1
216_21,0,0,2,1,1,0,2,0,0,2,2,1,2,1,0,1,2,2,1,0,1,1,1,2,2,0,1,0,1,1,2,2,2,0,1,1,2,0,1,2,2,0,1,0,2,2,2,0,0,1
216_20,0,0,2,1,1,0,2,0,0,2,2,1,2,1,1,1,2,2,1,0,0,1,1,2,2,0,1,1,1,1,2,0,0,0,1,1,2,0,0,2,2,0,1,0,2,2,2,0,1,1
I15,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,2,2,1,0,0,0
I16,1,0,2,1,1,2,0,1,1,1,1,1,0,2,2,1,2,0,1,0,0,0,1,2,1,2,1,0,1,0,2,2,2,0,2,1,1,0,2,2,1,0,2,1,2,2,1,0,2,2
216_27,1,0,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,0,1,2,0,0,1,2,1,2,1,0,1,0,2,2,2,1,2,1,1,0,2,2,1,2,2,1,2,2,1,1,2,2
216_26,1,2,2,1,1,2,2,1,1,1,1,1,0,2,2,1,2,0,1,1,0,1,1,2,1,2,1,0,1,0,2,2,2,0,2,1,1,0,2,2,1,0,2,1,2,2,1,0,2,2
I17,0,2,0,0,1,2,0,0,0,1,1,1,2,2,1,1,0,2,1,0,0,0,1,2,0,0,1,0,0,2,2,0,0,1,0,1,0,2,2,0,0,0,2,2,2,2,1,0,0,0
I18,1,2,2,0,1,2,2,0,2,1,1,1,2,2,1,1,0,2,1,0,0,0,1,2,0,1,1,0,0,2,2,0,0,1,0,1,2,2,2,0,0,1,2,2,2,2,1,0,0,0
216_35,1,2,2,0,1,2,2,0,2,1,1,1,2,2,1,1,0,2,1,0,0,0,1,2,0,1,1,1,0,2,2,0,2,1,0,1,2,2,2,0,1,1,2,2,2,2,1,0,0,2
216_34,1,2,2,0,1,2,2,0,2,1,1,1,2,2,1,1,0,2,1,0,0,0,1,2,0,1,1,0,0,2,2,0,2,1,0,1,2,2,2,1,0,1,2,2,2,2,1,0,0,0
I19,0,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,0,2,1,0,0,0,1,2,2,0,1,0,0,2,2,0,1,1,0,1,2,2,2,1,0,0,2,2,2,2,1,0,2,0
I20,1,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,0,2,1,2,0,0,1,2,2,0,1,2,0,2,2,0,1,1,0,1,2,2,2,1,0,0,2,2,2,2,1,0,2,1
216_31,1,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,0,2,1,2,0,0,1,2,2,0,1,2,0,2,2,0,1,1,0,1,2,2,2,1,0,0,2,2,2,2,1,0,2,1
216_30,1,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,0,2,1,2,0,0,1,2,2,0,1,2,0,2,2,0,1,1,0,1,2,2,2,1,0,0,2,2,2,2,1,0,2,1
I21,1,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,2,2,1,2,0,0,1,2,2,0,1,0,0,2,2,0,1,1,0,1,2,2,2,1,0,2,2,2,2,2,1,2,2,0
216_33,1,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,2,2,1,2,0,0,1,2,2,0,1,0,0,2,2,0,1,1,0,1,2,2,2,1,0,2,2,2,2,2,1,2,2,0
216_32,1,2,0,0,1,2,2,0,0,1,1,1,2,2,1,1,2,2,1,2,0,0,1,2,2,0,1,0,0,2,2,0,1,1,0,1,2,2,2,1,0,2,2,2,2,2,1,2,2,0
Evolve tree: [&R] ((((((216_32:5,216_33:5)I21:34,(216_30:1,216_31:1)I20:38)I19:38,(216_34:33,216_35:33)I18:44)I17:52,(216_26:37,216_27:37)I16:92)I15:48,(((216_20:34,216_21:34)I14:41,(216_18:31,216_19:31)I13:44)I12:51,((216_24:22,216_25:22)I11:48,(216_22:20,216_23:20)I10:50)I9:56)I8:51)I7:38,((((216_6:5,216_7:5)I6:37,216_5:42)I5:39,((216_9:2,216_10:2)I4:36,216_8:38)I3:43)I2:45,216_3:126)I1:89)I0;
