cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
I2,0,0,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,0,2,1,0,0,2,2,0,0,1,0,2,0,1,0,0,0,2,0,1,0,1,0,2,0,1,2,0,1,1,0
I3,2,1,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,0,2,1,1,2,2,2,0,1,1,1,2,1,1,0,0,0,2,1,1,0,1,2,2,0,1,2,2,1,1,2
216_14,2,1,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,0,2,1,1,2,2,2,0,1,1,1,2,1,1,1,0,2,2,1,1,0,1,2,2,0,1,2,2,1,1,2
216_13,2,1,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,0,2,1,1,2,2,2,0,1,1,1,2,1,1,0,0,0,2,1,1,0,1,2,2,0,1,2,2,1,1,2
I4,0,0,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,2,2,1,0,0,2,2,2,1,1,2,2,1,1,1,0,0,2,0,1,2,1,1,2,2,1,2,0,1,1,0
216_12,2,0,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,2,2,1,0,0,2,2,2,1,1,2,2,1,1,1,1,1,2,0,1,2,1,1,2,2,1,2,0,1,1,0
216_11,0,0,2,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,1,2,2,1,0,0,2,2,2,1,1,2,2,1,1,1,0,0,2,0,1,2,1,1,2,2,1,2,0,1,1,0
I5,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,2,0
216_7,1,1,1,1,1,2,1,1,2,1,1,0,2,2,2,0,0,2,2,2,1,2,2,1,1,0,1,0,1,1,0,1,2,0,0,0,2,0,1,1,1,1,0,1,1,2,0,0,2,0
I6,2,1,1,0,0,0,1,0,2,1,1,0,1,0,2,0,0,0,2,2,0,0,2,2,0,0,0,2,1,1,2,1,0,1,0,0,2,0,1,2,2,2,2,0,1,2,0,2,2,1
216_10,2,1,1,0,0,0,1,1,2,1,1,0,1,2,2,0,2,0,2,2,0,2,2,2,1,2,0,2,1,1,2,1,0,1,0,0,2,0,1,2,2,2,2,2,1,2,2,2,2,1
I7,2,1,1,0,1,2,1,0,2,1,1,2,1,2,2,0,0,0,2,2,0,0,2,2,1,0,0,2,1,1,2,1,0,1,0,2,2,0,1,2,2,2,2,2,1,2,0,2,2,1
216_9,2,1,1,0,1,2,1,0,2,1,1,2,1,2,2,0,0,0,2,2,1,0,2,2,1,2,0,2,1,1,2,1,0,1,0,2,2,0,1,2,2,2,2,2,1,2,0,2,2,1
216_8,2,1,1,0,1,2,1,2,2,1,1,2,1,2,2,2,0,1,2,2,0,0,2,2,1,1,0,2,1,1,2,1,0,1,0,2,2,0,1,2,2,2,2,2,1,2,0,2,2,1
I8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
216_1,1,0,1,0,1,1,1,1,0,2,0,1,0,2,1,0,2,1,1,2,1,0,2,1,1,2,1,1,1,2,1,2,2,1,0,2,2,0,1,2,2,1,1,2,0,0,0,2,2,2
I9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,2
I10,0,1,2,0,1,1,1,0,0,1,1,0,0,0,2,0,2,2,1,0,2,2,0,0,1,0,1,0,1,0,1,2,2,2,0,2,0,0,0,0,2,0,1,1,0,2,0,2,1,2
216_6,2,1,2,0,1,1,1,0,0,1,1,2,1,0,2,1,2,2,1,0,2,2,2,2,1,0,1,0,1,0,1,2,2,2,0,2,2,1,1,1,2,2,1,1,0,2,0,2,1,2
216_5,0,1,2,0,1,1,1,1,0,1,1,0,0,0,2,0,2,2,1,0,2,2,2,0,1,0,1,0,1,2,1,2,2,2,0,2,1,1,0,0,2,0,1,1,2,2,1,2,1,2
I11,0,0,2,1,1,1,0,0,0,1,2,0,0,0,1,0,2,0,1,1,2,0,0,2,0,2,1,1,1,0,1,0,2,2,0,2,0,1,0,0,0,2,1,1,0,0,1,2,1,2
216_4,2,2,2,1,1,1,1,0,2,1,2,0,2,1,1,2,2,0,1,1,2,2,1,2,0,2,1,1,1,1,1,0,2,2,1,2,0,1,0,0,0,2,1,1,0,0,1,2,1,2
I12,0,0,2,1,1,1,0,2,0,1,2,0,0,0,1,0,2,0,1,1,2,0,0,2,0,2,1,1,1,0,1,1,2,2,2,2,0,1,1,2,0,2,1,1,0,2,1,2,1,2
216_3,0,0,2,1,1,1,0,2,0,1,2,1,1,0,1,1,2,0,1,1,2,0,0,2,0,2,1,1,1,0,1,1,2,2,2,2,0,1,1,2,0,2,1,1,0,2,1,2,1,2
216_2,0,2,2,1,1,1,0,2,0,1,2,2,0,0,1,0,2,0,1,1,2,0,0,2,0,2,1,1,1,0,1,1,2,2,2,2,2,1,1,2,0,2,1,1,0,2,1,2,1,2
Evolve tree: [&R] (((((216_2:39,216_3:39)I12:51,216_4:90)I11:55,(216_5:86,216_6:86)I10:59)I9:45,216_1:190)I8:25,((((216_8:35,216_9:35)I7:52,216_10:87)I6:57,216_7:144)I5:43,((216_11:25,216_12:25)I4:61,(216_13:24,216_14:24)I3:62)I2:101)I1:28)I0;
