cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,1,0,0,0,0,0,0,0,0
I2,1,1,0,1,1,0,0,2,0,0
I3,1,1,0,1,1,0,0,2,0,0
216_14,1,1,0,1,1,0,0,2,0,0
I4,1,1,1,1,1,0,0,2,1,0
216_16,1,1,1,1,1,1,0,2,1,0
216_15,1,1,1,1,1,0,0,2,1,0
I5,1,1,2,1,1,0,1,2,0,1
I6,1,1,2,1,1,0,1,2,0,1
216_10,1,1,2,1,1,1,1,2,0,1
216_9,1,1,2,1,1,0,1,2,0,1
I7,1,1,2,1,1,0,1,2,0,1
216_12,1,1,2,1,1,0,1,2,0,1
216_11,1,1,2,1,1,0,1,2,0,1
I8,0,1,0,2,0,0,0,0,0,0
I9,0,1,2,2,2,0,0,1,1,0
I10,0,1,2,2,2,0,0,1,1,0
216_8,0,1,2,2,2,0,1,1,1,0
216_7,0,1,2,2,2,0,0,1,1,0
I11,0,1,2,2,2,2,0,1,1,0
216_6,0,1,2,2,2,2,0,1,1,1
216_5,0,1,2,2,2,2,0,1,1,0
I12,2,1,0,2,0,0,2,0,0,0
I13,2,1,1,2,0,0,2,0,0,0
216_4,2,1,1,2,0,0,2,0,0,0
216_3,2,1,1,2,0,0,2,0,0,0
I14,2,1,0,2,0,1,2,0,1,2
216_2,2,1,0,2,0,1,2,0,1,2
216_1,2,1,0,2,0,1,2,0,1,2
I15,1,0,0,0,0,2,0,0,0,0
I16,1,0,0,0,0,2,1,1,0,2
216_17,1,2,1,1,0,2,1,1,0,2
I17,1,0,0,0,0,2,1,1,2,2
I18,1,0,2,0,0,2,1,1,2,2
216_19,1,0,2,1,0,2,1,1,2,2
216_18,1,0,2,0,1,2,1,1,2,2
I19,1,0,0,0,1,2,1,1,2,2
216_21,1,0,0,0,1,2,1,1,2,2
216_20,1,0,0,0,1,2,1,1,2,2
I20,1,0,0,0,0,2,0,0,0,0
I21,1,0,0,1,0,2,0,0,0,0
I22,1,1,0,1,0,2,0,0,0,0
216_30,1,1,0,1,0,2,0,0,0,2
216_29,1,1,0,1,0,2,0,0,0,0
I23,1,2,0,1,0,2,0,2,0,0
216_28,1,2,0,1,0,2,0,2,2,2
216_27,1,2,1,1,0,2,0,2,0,0
I24,1,0,2,1,0,2,0,1,0,0
I25,1,0,2,1,1,2,0,1,0,0
216_26,1,0,2,1,1,2,0,1,1,0
216_25,1,0,2,1,1,2,0,1,0,0
I26,1,0,2,1,2,2,0,1,0,0
216_24,1,0,2,1,2,2,0,1,0,0
I27,1,0,2,1,2,2,0,1,0,0
216_23,1,0,2,1,2,2,0,1,0,0
216_22,1,0,2,1,2,2,0,1,0,0
Evolve tree: [&R] ((((((216_22:2,216_23:2)I27:43,216_24:45)I26:40,(216_25:40,216_26:40)I25:45)I24:47,((216_27:43,216_28:43)I23:42,(216_29:37,216_30:37)I22:48)I21:47)I20:42,(((216_20:39,216_21:39)I19:43,(216_18:32,216_19:32)I18:50)I17:43,216_17:125)I16:49)I15:41,((((216_1:21,216_2:21)I14:48,(216_3:14,216_4:14)I13:55)I12:52,((216_5:23,216_6:23)I11:40,(216_7:16,216_8:16)I10:47)I9:58)I8:44,(((216_11:15,216_12:15)I7:50,(216_9:10,216_10:10)I6:55)I5:47,((216_15:23,216_16:23)I4:42,216_14:65)I3:47)I2:53)I1:50)I0;
