cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_16,0,2,1,2,2,0,0,0,0,1
216_15,0,2,1,2,2,0,0,0,0,1
216_14,1,2,1,0,2,1,1,0,0,1
216_13,0,2,1,0,2,1,0,0,0,1
216_6,2,0,0,2,2,0,2,1,1,1
216_5,2,0,0,2,2,0,2,1,1,1
216_4,2,0,0,2,2,2,2,2,1,0
216_3,2,0,0,2,2,2,2,2,1,0
216_2,2,0,0,2,2,2,2,2,1,0
216_1,2,0,0,2,2,2,2,2,1,0
216_28,1,2,2,0,0,0,1,0,0,0
216_27,1,2,2,2,0,0,1,0,0,0
216_26,0,2,2,0,2,1,1,2,2,2
216_25,0,2,2,0,0,1,1,2,2,2
216_32,2,2,2,1,0,1,1,0,0,0
216_31,2,2,2,1,0,1,1,0,2,0
216_30,0,2,2,1,0,1,1,2,2,0
216_29,0,2,2,1,2,1,1,1,0,0
216_24,1,2,2,0,1,0,1,1,2,1
216_23,1,2,2,0,1,0,1,1,2,1
216_22,1,2,2,0,1,0,1,1,2,1
216_21,1,2,2,0,1,0,1,1,2,1
216_20,0,2,2,0,1,0,1,1,2,1
216_19,0,2,2,1,1,2,1,1,2,1
216_18,2,2,2,0,1,0,1,1,2,1
216_17,2,2,2,2,1,0,1,1,2,1
